HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,0,1,0,1,neutral
CN.BJ,4,4,3,11,positive
CN.CQ,0,0,0,0,no_data
CN.FJ,1,1,1,3,negative
CN.GS,0,0,0,0,no_data
CN.GD,1,2,4,7,negative
CN.GX,0,0,0,0,no_data
CN.GZ,0,0,1,1,negative
CN.HA,0,0,0,0,no_data
CN.HB,4,2,5,11,negative
CN.HL,0,0,0,0,no_data
CN.HE,0,0,2,2,negative
CN.HU,0,0,0,0,no_data
CN.HN,0,2,1,3,neutral
CN.JS,0,1,1,2,negative
CN.JX,0,0,0,0,no_data
CN.JL,1,0,0,1,positive
CN.LN,0,2,3,5,negative
CN.NM,0,0,0,0,no_data
CN.NX,0,0,0,0,no_data
CN.QH,0,0,0,0,no_data
CN.SA,1,1,0,2,positive
CN.SD,18,12,15,45,positive
CN.SH,1,2,5,8,negative
CN.SX,0,0,0,0,no_data
CN.SC,1,0,2,3,negative
CN.TJ,6,4,6,16,negative
CN.XJ,0,0,0,0,no_data
CN.XZ,0,0,0,0,no_data
CN.YN,2,0,0,2,positive
CN.ZJ,0,2,1,3,neutral
