HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,3,2,0,5,positive
CN.BJ,31,19,23,73,positive
CN.CQ,0,3,3,6,negative
CN.FJ,5,4,4,13,positive
CN.GS,0,0,0,0,no_data
CN.GD,61,48,39,148,positive
CN.GX,4,2,1,7,positive
CN.GZ,3,1,0,4,positive
CN.HA,0,2,0,2,neutral
CN.HB,11,11,5,27,positive
CN.HL,0,0,0,0,no_data
CN.HE,14,5,4,23,positive
CN.HU,10,3,5,18,positive
CN.HN,3,1,0,4,positive
CN.JS,11,9,14,34,negative
CN.JX,1,0,2,3,negative
CN.JL,0,0,0,0,no_data
CN.LN,6,4,0,10,positive
CN.NM,0,0,0,0,no_data
CN.NX,0,0,1,1,negative
CN.QH,0,0,0,0,no_data
CN.SA,9,7,5,21,positive
CN.SD,14,15,10,39,neutral
CN.SH,9,10,12,31,negative
CN.SX,7,1,2,10,positive
CN.SC,5,6,4,15,neutral
CN.TJ,5,7,13,25,negative
CN.XJ,0,0,0,0,no_data
CN.XZ,0,0,0,0,no_data
CN.YN,13,1,1,15,positive
CN.ZJ,10,10,7,27,positive
