HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,23,15,24,62,negative
CN.BJ,69,110,105,284,neutral
CN.CQ,24,32,27,83,neutral
CN.FJ,48,30,37,115,positive
CN.GS,6,6,8,20,negative
CN.GD,832,689,666,2187,positive
CN.GX,111,91,83,285,positive
CN.GZ,29,36,14,79,neutral
CN.HA,21,18,17,56,positive
CN.HB,24,37,30,91,neutral
CN.HL,0,3,0,3,neutral
CN.HE,182,126,82,390,positive
CN.HU,22,41,29,92,neutral
CN.HN,96,92,32,220,positive
CN.JS,37,61,63,161,negative
CN.JX,27,10,19,56,positive
CN.JL,7,7,0,14,positive
CN.LN,21,18,14,53,positive
CN.NM,5,4,3,12,positive
CN.NX,0,5,1,6,neutral
CN.QH,1,0,0,1,positive
CN.SA,78,68,60,206,positive
CN.SD,45,45,32,122,positive
CN.SH,28,47,58,133,negative
CN.SX,37,24,14,75,positive
CN.SC,128,111,69,308,positive
CN.TJ,15,27,34,76,negative
CN.XJ,2,4,1,7,neutral
CN.XZ,0,0,1,1,negative
CN.YN,30,15,11,56,positive
CN.ZJ,50,67,71,188,negative
