HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,8,2,9,19,negative
CN.BJ,36,49,67,152,negative
CN.CQ,10,3,6,19,positive
CN.FJ,45,23,14,82,positive
CN.GS,7,0,1,8,positive
CN.GD,536,267,328,1131,positive
CN.GX,46,40,20,106,positive
CN.GZ,13,4,2,19,positive
CN.HA,7,6,8,21,negative
CN.HB,35,18,19,72,positive
CN.HL,6,1,0,7,positive
CN.HE,57,28,30,115,positive
CN.HU,9,21,15,45,neutral
CN.HN,20,11,10,41,positive
CN.JS,18,31,16,65,neutral
CN.JX,10,1,0,11,positive
CN.JL,1,1,0,2,positive
CN.LN,13,5,2,20,positive
CN.NM,1,0,1,2,negative
CN.NX,1,0,0,1,positive
CN.QH,1,0,0,1,positive
CN.SA,34,20,20,74,positive
CN.SD,38,37,34,109,positive
CN.SH,12,26,29,67,negative
CN.SX,27,17,12,56,positive
CN.SC,57,43,32,132,positive
CN.TJ,14,12,17,43,negative
CN.XJ,1,0,0,1,positive
CN.XZ,0,0,0,0,no_data
CN.YN,13,6,8,27,positive
CN.ZJ,29,31,31,91,negative
