HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,57,46,64,167,negative
CN.BJ,87,170,197,454,negative
CN.CQ,67,73,140,280,negative
CN.FJ,64,60,100,224,negative
CN.GS,23,26,17,66,neutral
CN.GD,768,811,919,2498,negative
CN.GX,171,192,134,497,neutral
CN.GZ,49,35,38,122,positive
CN.HA,27,41,29,97,neutral
CN.HB,63,69,86,218,negative
CN.HL,7,11,4,22,neutral
CN.HE,365,228,286,879,positive
CN.HU,64,80,104,248,negative
CN.HN,121,125,127,373,negative
CN.JS,137,178,224,539,negative
CN.JX,59,56,47,162,positive
CN.JL,16,19,3,38,neutral
CN.LN,36,40,32,108,neutral
CN.NM,15,20,8,43,neutral
CN.NX,5,6,5,16,neutral
CN.QH,3,4,5,12,negative
CN.SA,105,95,160,360,negative
CN.SD,125,97,167,389,negative
CN.SH,104,125,185,414,negative
CN.SX,61,36,34,131,positive
CN.SC,340,234,291,865,positive
CN.TJ,30,44,91,165,negative
CN.XJ,17,16,6,39,positive
CN.XZ,1,3,0,4,neutral
CN.YN,58,38,39,135,positive
CN.ZJ,173,198,306,677,negative
