HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,154,292,147,593,neutral
Belgium,122,155,107,384,neutral
Bulgaria,66,105,95,266,neutral
Switzerlan,85,174,87,346,neutral
Cyprus,4,6,2,12,neutral
Czechia,168,490,247,905,neutral
Germany,726,1285,1158,3169,neutral
Denmark,274,679,412,1365,neutral
Spain,205,260,192,657,neutral
Estonia,33,37,26,96,neutral
Finland,780,1353,895,3028,neutral
France,253,353,316,922,neutral
United Kin,5409,6163,5686,17258,neutral
Greece,249,333,175,757,neutral
Croatia,306,478,363,1147,neutral
Hungary,283,915,770,1968,neutral
Ireland,345,631,383,1359,neutral
Iceland,16,34,16,66,neutral
Italy,359,974,472,1805,neutral
Liechtenst,0,1,1,2,negative
Lithuania,54,139,152,345,negative
Luxembourg,14,29,14,57,neutral
Latvia,54,77,77,208,negative
Malta,0,0,0,0,no_data
Netherland,86,300,157,543,neutral
Norway,219,695,394,1308,neutral
Poland,335,900,693,1928,neutral
Portugal,54,119,109,282,neutral
Romania,61,150,149,360,neutral
Slovakia,96,207,124,427,neutral
Slovenia,159,444,325,928,neutral
Sweden,1443,1551,1330,4324,neutral
