HASC_1,positive,neutral,negative,total_comments,final_sentiment
CN.AH,574,457,547,1578,positive
CN.BJ,408,523,498,1429,neutral
CN.CQ,1440,556,538,2534,positive
CN.FJ,455,386,514,1355,negative
CN.GS,148,135,148,431,negative
CN.GD,2982,2640,3767,9389,negative
CN.GX,697,606,721,2024,negative
CN.GZ,330,279,332,941,negative
CN.HA,190,186,321,697,negative
CN.HB,629,478,664,1771,negative
CN.HL,107,111,89,307,neutral
CN.HE,1681,1282,1466,4429,positive
CN.HU,480,465,649,1594,negative
CN.HN,562,491,623,1676,negative
CN.JS,1030,913,1294,3237,negative
CN.JX,476,403,430,1309,positive
CN.JL,169,174,173,516,neutral
CN.LN,439,294,316,1049,positive
CN.NM,193,136,133,462,positive
CN.NX,78,43,30,151,positive
CN.QH,48,47,41,136,positive
CN.SA,409,400,703,1512,negative
CN.SD,1670,872,1223,3765,positive
CN.SH,329,428,587,1344,negative
CN.SX,281,229,249,759,positive
CN.SC,1209,898,1344,3451,negative
CN.TJ,143,190,277,610,negative
CN.XJ,186,157,104,447,positive
CN.XZ,37,38,40,115,negative
CN.YN,434,338,446,1218,negative
CN.ZJ,924,956,1511,3391,negative
