HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,53,258,51,362,neutral
Belgium,70,135,61,266,neutral
Bulgaria,20,15,8,43,positive
Switzerlan,56,133,46,235,neutral
Cyprus,0,1,0,1,neutral
Czechia,37,77,34,148,neutral
Germany,220,855,241,1316,neutral
Denmark,34,110,47,191,neutral
Spain,78,163,73,314,neutral
Estonia,5,8,2,15,neutral
Finland,61,141,82,284,neutral
France,75,461,62,598,neutral
United Kin,1868,3081,1791,6740,neutral
Greece,2,6,2,10,neutral
Croatia,38,77,42,157,neutral
Hungary,59,105,58,222,neutral
Ireland,87,166,129,382,neutral
Iceland,3,17,2,22,neutral
Italy,77,209,61,347,neutral
Liechtenst,1,2,1,4,neutral
Lithuania,3,23,16,42,neutral
Luxembourg,3,6,3,12,neutral
Latvia,11,38,16,65,neutral
Malta,0,0,0,0,no_data
Netherland,64,266,34,364,neutral
Norway,63,180,69,312,neutral
Poland,38,69,30,137,neutral
Portugal,56,276,283,615,negative
Romania,3,12,2,17,neutral
Slovakia,21,54,27,102,neutral
Slovenia,55,149,126,330,neutral
Sweden,177,291,153,621,neutral
