HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,241,357,273,871,neutral
Belgium,152,243,195,590,neutral
Bulgaria,210,327,363,900,negative
Switzerlan,108,217,154,479,neutral
Cyprus,14,13,22,49,negative
Czechia,241,572,414,1227,neutral
Germany,896,1574,1343,3813,neutral
Denmark,525,956,649,2130,neutral
Spain,365,507,448,1320,neutral
Estonia,110,100,82,292,positive
Finland,1393,1915,1560,4868,neutral
France,498,668,562,1728,neutral
United Kin,5409,5766,5936,17111,negative
Greece,485,667,406,1558,neutral
Croatia,508,746,737,1991,neutral
Hungary,555,1864,1741,4160,neutral
Ireland,545,849,644,2038,neutral
Iceland,79,106,44,229,neutral
Italy,439,1250,516,2205,neutral
Liechtenst,2,1,0,3,positive
Lithuania,150,293,442,885,negative
Luxembourg,11,15,17,43,negative
Latvia,133,216,216,565,negative
Malta,0,0,0,0,no_data
Netherland,126,330,188,644,neutral
Norway,232,523,345,1100,neutral
Poland,650,1583,1518,3751,neutral
Portugal,72,105,110,287,negative
Romania,146,691,738,1575,negative
Slovakia,159,356,241,756,neutral
Slovenia,259,597,453,1309,neutral
Sweden,1115,1386,1150,3651,neutral
