HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,110,231,94,435,neutral
Belgium,89,124,87,300,neutral
Bulgaria,39,36,23,98,positive
Switzerlan,100,126,66,292,neutral
Cyprus,0,0,1,1,negative
Czechia,92,228,132,452,neutral
Germany,448,824,549,1821,neutral
Denmark,87,190,104,381,neutral
Spain,110,193,103,406,neutral
Estonia,9,25,17,51,neutral
Finland,170,298,227,695,neutral
France,228,312,187,727,neutral
United Kin,3051,4347,2732,10130,neutral
Greece,10,12,8,30,neutral
Croatia,76,105,89,270,neutral
Hungary,108,406,279,793,neutral
Ireland,120,350,227,697,neutral
Iceland,6,13,5,24,neutral
Italy,140,247,139,526,neutral
Liechtenst,1,3,0,4,neutral
Lithuania,18,60,70,148,negative
Luxembourg,4,14,15,33,negative
Latvia,17,24,21,62,neutral
Malta,0,0,1,1,negative
Netherland,76,137,65,278,neutral
Norway,106,247,134,487,neutral
Poland,91,203,148,442,neutral
Portugal,89,233,212,534,neutral
Romania,11,25,18,54,neutral
Slovakia,27,80,46,153,neutral
Slovenia,140,333,249,722,neutral
Sweden,479,599,377,1455,neutral
