HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,92,167,114,373,neutral
Belgium,67,103,79,249,neutral
Bulgaria,29,30,29,88,neutral
Switzerlan,99,123,80,302,neutral
Cyprus,0,0,1,1,negative
Czechia,129,367,199,695,neutral
Germany,439,761,602,1802,neutral
Denmark,114,236,188,538,neutral
Spain,91,175,95,361,neutral
Estonia,19,16,9,44,positive
Finland,274,360,281,915,neutral
France,138,258,201,597,neutral
United Kin,2996,4083,3099,10178,neutral
Greece,41,61,28,130,neutral
Croatia,120,154,89,363,neutral
Hungary,181,1087,692,1960,neutral
Ireland,190,446,222,858,neutral
Iceland,6,16,9,31,neutral
Italy,187,307,167,661,neutral
Liechtenst,0,1,0,1,neutral
Lithuania,36,53,76,165,negative
Luxembourg,9,7,8,24,positive
Latvia,36,53,22,111,neutral
Malta,0,0,0,0,no_data
Netherland,73,192,109,374,neutral
Norway,172,340,205,717,neutral
Poland,144,413,211,768,neutral
Portugal,34,135,80,249,neutral
Romania,28,56,45,129,neutral
Slovakia,28,86,57,171,neutral
Slovenia,126,342,270,738,neutral
Sweden,731,817,613,2161,neutral
