HASC_1,positive,neutral,negative,total_comments,final_sentiment
Austria,217,324,234,775,neutral
Belgium,107,194,138,439,neutral
Bulgaria,462,664,482,1608,neutral
Switzerlan,76,146,106,328,neutral
Cyprus,24,34,31,89,neutral
Czechia,257,626,469,1352,neutral
Germany,661,1128,1085,2874,neutral
Denmark,214,506,240,960,neutral
Spain,260,371,301,932,neutral
Estonia,130,194,91,415,neutral
Finland,1058,1340,1217,3615,neutral
France,299,365,322,986,neutral
United Kin,3839,3838,4010,11687,negative
Greece,815,1144,837,2796,neutral
Croatia,655,1022,1013,2690,neutral
Hungary,603,1606,1599,3808,neutral
Ireland,785,1210,846,2841,neutral
Iceland,82,114,79,275,neutral
Italy,289,916,399,1604,neutral
Liechtenst,3,1,0,4,positive
Lithuania,270,524,592,1386,negative
Luxembourg,12,7,19,38,negative
Latvia,112,248,188,548,neutral
Malta,0,1,0,1,neutral
Netherland,90,216,138,444,neutral
Norway,193,412,237,842,neutral
Poland,1176,3349,3150,7675,neutral
Portugal,66,103,101,270,neutral
Romania,502,1988,1378,3868,neutral
Slovakia,121,277,195,593,neutral
Slovenia,236,334,401,971,negative
Sweden,525,693,625,1843,neutral
